,Unnamed: 0,node,ethcat,agecat,treat,Trade_sex,Group_sex,degree,age.gp1,age.gp2,age.gp3,age.gp4,black,white,other,Tr,NoTr,Trade,NoTrade,Group,NoGroup
1668,1669,1669,black,age.gp1,Tr,Trade,Group,14,5,4,2,3,5,8,1,3,11,1,13,4,10
1738,1739,1739,white,age.gp3,Tr,NoTrade,Group,24,4,11,5,4,4,17,3,8,16,2,22,14,10
1740,1741,1741,white,age.gp3,Tr,NoTrade,Group,19,2,11,4,2,1,15,3,11,8,1,18,13,6
2303,2304,2304,other,age.gp2,Tr,NoTrade,Group,10,1,5,1,3,2,8,0,6,4,0,10,7,3
2345,2346,2346,black,age.gp2,NoTr,NoTrade,Group,14,1,5,6,2,9,5,0,4,10,1,13,7,7
2409,2410,2410,white,age.gp3,NoTr,NoTrade,NoGroup,6,1,3,0,2,1,4,1,2,4,0,6,4,2
2520,2521,2521,white,age.gp2,Tr,NoTrade,Group,30,3,15,7,5,2,24,4,13,17,2,28,19,11
2594,2595,2595,white,age.gp3,NoTr,NoTrade,Group,11,0,4,2,5,1,9,1,4,7,0,11,4,7
2599,2600,2600,white,age.gp3,NoTr,NoTrade,Group,25,1,14,4,6,4,19,2,10,15,0,25,18,7
2741,2742,2742,white,age.gp2,Tr,NoTrade,Group,17,2,5,8,2,2,11,4,6,11,1,16,10,7
2797,2798,2798,white,age.gp2,NoTr,NoTrade,NoGroup,7,1,5,1,0,0,5,2,5,2,0,7,4,3
2953,2954,2954,white,age.gp2,Tr,NoTrade,Group,21,3,14,2,2,2,15,4,9,12,0,21,11,10
2972,2973,2973,white,age.gp2,NoTr,NoTrade,Group,25,2,19,3,1,1,16,8,13,12,2,23,18,7
54,55,55,black,age.gp2,NoTr,NoTrade,NoGroup,8,1,3,3,1,3,4,1,4,4,1,7,4,4
299,300,300,white,age.gp4,NoTr,NoTrade,Group,13,0,4,1,8,1,10,2,3,10,0,13,7,6
833,834,834,white,age.gp3,NoTr,NoTrade,NoGroup,8,0,3,2,3,1,7,0,2,6,1,7,6,2
963,964,964,black,age.gp2,NoTr,NoTrade,Group,18,5,5,2,6,9,5,4,4,14,2,16,10,8
1432,1433,1433,white,age.gp3,Tr,NoTrade,NoGroup,10,2,1,2,5,1,8,1,2,8,0,10,5,5
2160,2161,2161,white,age.gp2,Tr,NoTrade,NoGroup,17,1,11,2,3,3,11,3,4,13,1,16,10,7
2283,2284,2284,other,age.gp2,Tr,NoTrade,Group,10,0,7,0,3,1,9,0,4,6,2,8,7,3
2679,2680,2680,black,age.gp3,NoTr,NoTrade,NoGroup,6,1,3,2,0,3,1,2,2,4,1,5,4,2
55,56,56,black,age.gp2,NoTr,NoTrade,NoGroup,14,1,6,6,1,5,8,1,4,10,2,12,10,4
115,116,116,white,age.gp3,NoTr,NoTrade,NoGroup,5,0,1,1,3,1,4,0,2,3,1,4,4,1
247,248,248,white,age.gp2,Tr,NoTrade,Group,27,3,16,4,4,3,20,4,12,15,3,24,19,8
336,337,337,white,age.gp2,Tr,NoTrade,NoGroup,14,0,8,5,1,1,11,2,5,9,2,12,10,4
473,474,474,black,age.gp3,NoTr,Trade,Group,12,1,4,6,1,6,5,1,2,10,0,12,6,6
637,638,638,other,age.gp1,NoTr,Trade,Group,7,4,2,1,0,2,5,0,2,5,1,6,4,3
1556,1557,1557,white,age.gp3,NoTr,NoTrade,Group,14,2,4,5,3,1,13,0,5,9,1,13,12,2
2387,2388,2388,white,age.gp2,Tr,NoTrade,Group,18,1,10,3,4,1,15,2,5,13,2,16,13,5
2705,2706,2706,white,age.gp4,NoTr,NoTrade,Group,12,1,2,3,6,2,9,1,4,8,0,12,9,3
2958,2959,2959,white,age.gp2,NoTr,NoTrade,Group,24,4,13,3,4,1,22,1,16,8,2,22,17,7
56,57,57,black,age.gp2,NoTr,NoTrade,NoGroup,5,1,1,2,1,3,2,0,1,4,0,5,1,4
225,226,226,black,age.gp2,NoTr,NoTrade,NoGroup,6,0,4,0,2,6,0,0,0,6,0,6,2,4
402,403,403,black,age.gp4,NoTr,NoTrade,NoGroup,7,3,2,2,0,4,2,1,1,6,2,5,4,3
955,956,956,white,age.gp3,Tr,NoTrade,Group,21,4,7,5,5,1,18,2,7,14,0,21,13,8
1261,1262,1262,black,age.gp3,NoTr,NoTrade,NoGroup,9,2,2,3,2,5,4,0,3,6,2,7,4,5
1630,1631,1631,white,age.gp1,NoTr,NoTrade,NoGroup,11,4,4,2,1,1,7,3,4,7,0,11,6,5
864,865,865,other,age.gp2,Tr,NoTrade,Group,12,0,3,5,4,3,9,0,4,8,1,11,7,5
1386,1387,1387,black,age.gp3,NoTr,NoTrade,NoGroup,10,1,4,4,1,9,1,0,1,9,2,8,5,5
2039,2040,2040,white,age.gp4,Tr,NoTrade,Group,11,0,2,0,9,3,8,0,4,7,1,10,5,6
2365,2366,2366,black,age.gp2,Tr,NoTrade,Group,21,0,7,9,5,10,10,1,7,14,1,20,10,11
2366,2367,2367,black,age.gp2,Tr,NoTrade,Group,16,2,7,5,2,8,7,1,5,11,0,16,8,8
2408,2409,2409,white,age.gp3,NoTr,NoTrade,NoGroup,5,1,2,1,1,1,3,1,4,1,0,5,3,2
58,59,59,black,age.gp2,NoTr,NoTrade,NoGroup,7,0,3,1,3,7,0,0,1,6,1,6,5,2
350,351,351,black,age.gp4,NoTr,NoTrade,NoGroup,4,0,1,1,2,3,1,0,0,4,1,3,3,1
453,454,454,black,age.gp3,NoTr,NoTrade,NoGroup,10,0,3,5,2,8,1,1,0,10,1,9,2,8
1368,1369,1369,black,age.gp4,NoTr,NoTrade,Group,6,1,1,2,2,2,3,1,0,6,1,5,4,2
2236,2237,2237,black,age.gp4,NoTr,Trade,Group,5,0,1,1,3,2,3,0,0,5,0,5,2,3
2349,2350,2350,black,age.gp2,NoTr,NoTrade,Group,23,1,12,6,4,13,9,1,5,18,1,22,13,10
59,60,60,white,age.gp4,NoTr,NoTrade,Group,14,1,2,2,9,1,13,0,3,11,1,13,8,6
62,63,63,white,age.gp4,NoTr,NoTrade,Group,14,0,0,4,10,3,11,0,1,13,3,11,9,5
692,693,693,white,age.gp4,Tr,NoTrade,Group,21,0,1,5,15,1,20,0,10,11,0,21,15,6
721,722,722,black,age.gp4,NoTr,NoTrade,NoGroup,5,1,1,0,3,1,4,0,1,4,0,5,3,2
1295,1296,1296,white,age.gp4,NoTr,NoTrade,Group,8,1,4,1,2,1,5,2,2,6,0,8,5,3
1300,1301,1301,white,age.gp4,NoTr,NoTrade,Group,10,0,2,0,8,2,8,0,3,7,2,8,9,1
2041,2042,2042,white,age.gp4,Tr,NoTrade,Group,13,0,5,3,5,1,12,0,5,8,0,13,9,4
2318,2319,2319,white,age.gp2,NoTr,NoTrade,NoGroup,12,1,4,4,3,0,12,0,8,4,1,11,9,3
2592,2593,2593,white,age.gp3,NoTr,NoTrade,Group,25,3,11,3,8,0,24,1,12,13,3,22,18,7
2613,2614,2614,white,age.gp4,NoTr,NoTrade,NoGroup,3,0,0,0,3,1,2,0,0,3,0,3,2,1
2614,2615,2615,white,age.gp4,NoTr,NoTrade,NoGroup,4,0,2,0,2,0,4,0,1,3,1,3,4,0
2869,2870,2870,white,age.gp1,NoTr,NoTrade,Group,28,21,2,2,3,3,18,7,5,23,4,24,15,13
