,node,treat,degree,size_comm_tr,size_comm_no_tr,old_label,type_comm_tr,type_comm_no_tr
224,225,NoTr,12,2522,2604,988,large,large
225,226,NoTr,18,2522,2604,366,large,large
226,227,NoTr,6,2522,2604,2062,large,large
227,228,NoTr,13,2522,2604,1239,large,large
228,229,Tr,33,2522,2604,167,large,large
229,230,NoTr,4,2522,2604,2063,large,large
230,231,NoTr,8,2522,2604,180,large,large
231,232,Tr,8,2522,2604,1502,large,large
232,233,Tr,14,2522,2604,480,large,large
233,234,Tr,17,2522,2604,386,large,large
234,235,NoTr,18,2522,2604,28,large,large
235,236,Tr,6,2522,2604,1483,large,large
236,237,Tr,6,2522,2604,2231,large,large
237,238,Tr,31,2522,2604,1177,large,large
238,239,NoTr,13,2522,2604,441,large,large
239,240,NoTr,16,2522,2604,1188,large,large
240,241,NoTr,19,2522,2604,148,large,large
241,242,NoTr,9,2522,2604,1361,large,large
242,243,NoTr,17,2522,2604,1256,large,large
243,244,Tr,23,2522,2604,983,large,large
244,245,NoTr,4,2522,2604,1862,large,large
245,246,NoTr,3,2522,2604,2288,large,large
246,247,NoTr,12,2522,2604,2241,large,large
247,248,NoTr,18,2522,2604,815,large,large
248,249,Tr,17,2522,2604,199,large,large
249,250,Tr,26,2522,2604,549,large,large
250,251,NoTr,9,2522,2604,1748,large,large
251,252,NoTr,22,2522,2604,632,large,large
252,253,Tr,23,2522,2604,791,large,large
253,254,NoTr,14,2522,2604,1376,large,large
254,255,NoTr,19,2522,2604,879,large,large
255,256,NoTr,25,2522,2604,177,large,large
256,257,NoTr,12,2522,2604,990,large,large
257,258,NoTr,3,2522,2604,169,large,large
258,259,NoTr,14,2522,2604,398,large,large
259,260,NoTr,6,2522,2604,1195,large,large
260,261,Tr,9,2522,2604,556,large,large
261,262,NoTr,3,2522,2604,1784,large,large
262,263,NoTr,29,2522,2604,131,large,large
263,264,Tr,10,2522,2604,2168,large,large
264,265,NoTr,10,2522,2604,724,large,large
265,266,Tr,13,2522,2604,2566,large,large
266,267,Tr,7,2522,2604,2681,large,large
267,268,Tr,4,1,2604,2835,small,large
268,269,Tr,14,2522,2604,2369,large,large
269,270,Tr,1,1,1,2925,small,small
270,271,Tr,18,2522,2604,535,large,large
271,272,NoTr,12,2522,2604,605,large,large
272,273,NoTr,6,2522,2604,1011,large,large
273,274,NoTr,8,2522,2604,1768,large,large
274,275,NoTr,10,2522,2604,449,large,large
275,276,NoTr,14,2522,2604,2574,large,large
276,277,NoTr,19,2522,2604,1937,large,large
277,278,NoTr,10,2522,2604,27,large,large
278,279,Tr,12,2522,2604,29,large,large
279,280,NoTr,7,2522,2604,30,large,large
280,281,NoTr,12,2522,2604,31,large,large
281,282,NoTr,5,2522,2604,32,large,large
282,283,Tr,19,2522,2604,33,large,large
283,284,NoTr,8,2522,2604,34,large,large
284,285,NoTr,10,2522,2604,35,large,large
285,286,NoTr,10,2522,2604,37,large,large
286,287,NoTr,11,2522,2604,803,large,large
287,288,Tr,18,2522,2604,804,large,large
288,289,Tr,29,2522,2604,806,large,large
289,290,NoTr,18,2522,2604,807,large,large
290,291,Tr,24,2522,2604,808,large,large
291,292,Tr,27,2522,2604,809,large,large
292,293,Tr,11,2522,2604,810,large,large
293,294,Tr,17,2522,2604,811,large,large
294,295,Tr,18,2522,2604,298,large,large
295,296,Tr,23,2522,2604,812,large,large
296,297,NoTr,7,2522,2604,813,large,large
297,298,NoTr,24,2522,2604,44,large,large
298,299,NoTr,11,2522,2604,1099,large,large
299,300,NoTr,4,2522,2604,1324,large,large
300,301,NoTr,4,2522,2604,1409,large,large
301,302,NoTr,12,2522,2604,1152,large,large
302,303,Tr,17,2522,2604,1410,large,large
303,304,Tr,7,2522,2604,1246,large,large
304,305,NoTr,3,2522,2604,1411,large,large
305,306,NoTr,28,2522,2604,1401,large,large
